point_id,floor,location_th,asset_code_ref
CAB-01,6,ตู้ดับเพลิงทางเดินข้างห้อง 601,FH-ST1-6/1
CAB-02,6,ตู้ดับเพลิงทางเดินข้างห้อง 630,FH-ST3-6/2
CAB-03,6,ตู้ดับเพลิงทางเดินข้างห้อง 649,FH-ST4-6/3
CAB-04,5,ตู้ดับเพลิงทางเดินข้างห้อง 501,FH-ST1-5/1
CAB-05,5,ตู้ดับเพลิงทางเดินข้างห้อง 530,FH-ST3-5/2
CAB-06,5,ตู้ดับเพลิงทางเดินข้างห้อง 549,FH-ST3-5/3
CAB-07,4,ตู้ดับเพลิงทางเดินข้างห้อง 401,FH-ST1-4/1
CAB-08,4,ตู้ดับเพลิงทางเดินข้างห้อง 430,FH-ST3-4/2
CAB-09,4,ตู้ดับเพลิงทางเดินข้างห้อง 449,FH-ST3-4/3
CAB-10,3,ตู้ดับเพลิงทางเดินข้างห้อง 301,FH-ST1-3/1
CAB-11,3,ตู้ดับเพลิงทางเดินข้างห้อง 330,FH-ST1-3/2
CAB-12,3,ตู้ดับเพลิงทางเดินข้างห้อง 349,FH-ST1-3/3
CAB-13,2,ตู้ดับเพลิงทางเดินข้างห้อง 201,FH-ST1-2/1
CAB-14,2,ตู้ดับเพลิงทางเดินข้างห้อง 230,FH-ST1-2/2
CAB-15,2,ตู้ดับเพลิงทางเดินข้างห้อง 249,FH-ST1-2/3
CAB-16,1,ตู้ดับเพลิง หน้าห้อง MDB room,FH-EN-B1/3
CAB-17,1,ตู้ดับเพลิง หน้าห้องน้ำ SQ1,FH-SQ1-B/1
CAB-18,1,ตู้ดับเพลิง ทางเข้าออกพนักงาน,FH-SEC-B/2
CAB-19,B1,ตู้ดับเพลิง หน้าห้องน้ำลานจอด,FH-ST-B/2
CAB-20,B1,ตู้ดับเพลิง ทางขึ้นทีเนเด,FH-STHC-B3/3
CAB-21,B1,ตู้ดับเพลิง บริเวณลานจอด โซนทีเนเด,FH-STHC-B2/3
CAB-22,B1,ตู้ดับเพลิง บริเวณหน้าห้องไฟปั๊ม,FH-SP-B2/4
CAB-23,1,ตู้ดับเพลิง หน้าห้องบอร์ดรูม,FH-BR-G/2
CAB-24,1,ตู้ดับเพลิง ตรงข้ามห้องศรีนครินทร์2,FH-SRI-G
CAB-25,1,ตู้ดับเพลิงหน้าห้องออกกำลังกาย,FH-STHC-B1/3
CAB-26,B1,ตู้ดับเพลิง ทางออกลานจอด,FH-EX-B2/5
