point_id,size,floor,location_th,asset_code_ref
EXT-01,15 LB,6,ในตู้ดับเพลิง ทางเดินข้างห้อง 601,ABCK
EXT-02,15 LB,6,ในตู้ดับเพลิง ทางเดินข้างห้อง 630,ABCK
EXT-03,15 LB,6,ในตู้ดับเพลิง ทางเดินข้างห้อง 649,ABCK
EXT-04,15 LB,5,ในตู้ดับเพลิง ทางเดินข้างห้อง 501,ABCK
EXT-05,15 LB,5,ในตู้ดับเพลิง ทางเดินข้างห้อง 530,ABCK
EXT-06,15 LB,5,ในตู้ดับเพลิง ทางเดินข้างห้อง 549,ABCK
EXT-07,15 LB,4,ในตู้ดับเพลิง ทางเดินข้างห้อง 401,ABCK
EXT-08,15 LB,4,ในตู้ดับเพลิง ทางเดินข้างห้อง 430,ABCK
EXT-09,15 LB,4,ในตู้ดับเพลิง ทางเดินข้างห้อง 449,ABCK
EXT-10,15 LB,4,ห้องเก็บของแม่บ้านฟอร์4/1,ABCK
EXT-11,15 LB,3,ในตู้ดับเพลิง ทางเดินข้างห้อง 301,ABCK
EXT-12,15 LB,3,ในตู้ดับเพลิง ทางเดินข้างห้อง 330,ABCK
EXT-13,15 LB,3,ในตู้ดับเพลิง ทางเดินข้างห้อง 349,ABCK
EXT-14,15 LB,2,ในตู้ดับเพลิง ทางเดินข้างห้อง 201,ABCK
EXT-15,15 LB,2,ในตู้ดับเพลิง ทางเดินข้างห้อง 230,ABCK
EXT-16,15 LB,2,ในตู้ดับเพลิง ทางเดินข้างห้อง 249,ABCK
EXT-17,15 LB,1,ตู้ดับเพลิงทางเดินหน้าห้องประชุมศรีนครินทร์ 2,ABCK
EXT-18,15 LB,1,ชั้นลอยห้องประชุมศรีนครินทร์,ABCK
EXT-19,15 LB,1,หน้าห้องออฟฟิต BQ,ABCK
EXT-20,15 LB,1,ข้างลิฟต์ขนของหลังห้องศรีนครินทร์,ABCK
EXT-21,15 LB,1,ด้านหลังห้องประชุมศรีนครินทร์1,ABCK
EXT-22,15 LB,1,ห้องเบิร์ฟเวอร์,ABCK
EXT-23,15 LB,1,ออฟฟิตฟร้อน 1,ABCK
EXT-24,15 LB,1,ออฟฟิตฟร้อน 2,ABCK
EXT-25,15 LB,1,ตู้ดับเพลิงหน้าห้องประชุมบอร์ดรูม,ABCK
EXT-26,15 LB,1,ในออฟฟิตฝ่ายบริหารข้างบุเฟ่,ABCK
EXT-27,15 LB,1,ออฟฟิตแผนกเซล,ABCK
EXT-28,15 LB,1,หลังเค้าเตอร์ห้องออกกำลังกาย,ABCK
EXT-29,15 LB,1,ตู้ดับเพลิงห้องออกกำลังกาย,ABCK
EXT-30,15 LB,1,ทางเข้าครัวเมน1 SQ1,ABCK
EXT-31,15 LB,1,ทางเข้าครัวเมน2 SQ1,ABCK
EXT-32,15 LB,1,ตู้ดับเพลิงหน้าห้องน้ำ SQ1,ABCK
EXT-33,15 LB,1,หลังห้องประชุมปริ๊นเซส1,ABCK
EXT-34,15 LB,1,หลังห้องประชุมปริ๊นเซส,ABCK
EXT-35,15 LB,1,ครัวแคนทีน,ABCK
EXT-36,15 LB,1,ทางเดินหน้าห้องสจ๊วด,ABCK
EXT-37,15 LB,1,ห้องอบขนมปัง,ABCK
EXT-38,15 LB,1,ครัวเมน1,ABCK
EXT-39,15 LB,1,ครัวเมน2,ABCK
EXT-40,15 LB,1,ครัวจีน,ABCK
EXT-41,15 LB,1,หน้าทางเข้าห้องอาหารจีน,ABCK
EXT-42,15 LB,1,หน้าห้อง ซักรีด,ABCK
EXT-43,15 LB,1,ตู้ดับเพลิงหน้าห้องเย็น,ABCK
EXT-44,15 LB,1,ตู้ดับเพลิงหน้าห้อง MDB ROOM,ABCK
EXT-45,15 LB,1,ในห้อง MDB ROOM,ABCK
EXT-46,15 LB,1,ห้องช่าง,ABCK
EXT-47,15 LB,1,ห้องเครื่องปั่นไฟ,ABCK
EXT-48,15 LB,1,ห้องอุปกรณ์ ERT1,ABCK
EXT-49,15 LB,1,ห้องอุปกรณ์ ERT2,ABCK
EXT-50,15 LB,1,ห้องสโตร์เคมี1 ฝั่งวิทยาลัย,ABCK
EXT-51,15 LB,1,ห้องสโตร์เคมี2 ฝั่งวิทยาลัย,ABCK
EXT-52,15 LB,1,ตู้ดับเพลิงหน้าห้องขยะเปียก1,ABCK
EXT-53,15 LB,1,ตู้ดับเพลิงหน้าห้องขยะเปียก2,ABCK
EXT-54,15 LB,B1,สโตร์ลานจอดฝั่งมอเตอร์ไซค์,ABCK
EXT-55,15 LB,B1,ตู้ดับเพลิงหน้าห้องไฟปั๊ม,ABCK
EXT-56,15 LB,B1,ลานจอดฝั่งบ่อไขมัน1,ABCK
EXT-57,15 LB,B1,ตู้ดับเพลิงหน้าห้องน้ำลานจอด,ABCK
EXT-58,15 LB,B1,ลานจอดทางขึ้นล็อบบี้1,ABCK
EXT-59,15 LB,B1,ลานจอดทางขึ้นล็อบบี้2,ABCK
EXT-60,15 LB,B1,ตู้ดับเพลิงลานจอดฝั่งทางขึ้นทีเนเด,ABCK
EXT-61,15 LB,B1,ตู้ดับเพลิงโซนจอดรถพนักงาน,ABCK
EXT-62,15 LB,B1,ทางออกลานจอด,ABCK
